seed,noise_type,level,elapsed_s,accuracy,precision,recall,f1
44,depolarizing,L4,28.3597993850708,0.564276048714479,0.5556417215975185,0.9098412698412699,0.6899374097255657
44,phase_damping,L1,24.95617914199829,0.6288903924221921,0.618905472636816,0.7898412698412698,0.6940027894002789
44,phase_damping,L2,26.083067893981934,0.628552097428958,0.6171990171990172,0.7974603174603174,0.6958448753462604
44,phase_damping,L3,25.02126669883728,0.6238159675236806,0.6066328880700138,0.8361904761904762,0.7031500266951415
44,phase_damping,L4,25.19522714614868,0.6058863328822733,0.5889756944444444,0.8615873015873016,0.6996648620778552
44,readout,L1,26.093703985214233,0.6234776725304465,0.6152694610778443,0.7828571428571428,0.6890192791282481
44,readout,L2,25.14122748374939,0.6258457374830853,0.6163771712158809,0.7885714285714286,0.6919220055710307
44,readout,L3,24.965668439865112,0.6258457374830853,0.615916955017301,0.7911111111111111,0.6926070038910506
44,readout,L4,24.40547823905945,0.6258457374830853,0.6150073565473271,0.7961904761904762,0.6939679026009962
44,combined,L2,29.930908679962158,0.6224627875507442,0.6096512183468705,0.8101587301587302,0.6957470010905126
45,none,L0,19.872005224227905,0.6255074424898511,0.640119760479042,0.6787301587301587,0.6588597842835131
45,depolarizing,L1,26.103018760681152,0.6204330175913396,0.6381940207443563,0.6641269841269841,0.6509023024268824
45,depolarizing,L2,26.50485110282898,0.6160351826792964,0.6373283395755306,0.6482539682539683,0.6427447277305635
45,depolarizing,L3,26.353344202041626,0.5916779431664412,0.6451104100946372,0.5193650793650794,0.5754484699261344
45,depolarizing,L4,25.827239274978638,0.5453315290933695,0.6467598475222364,0.32317460317460317,0.43099068585944117
45,phase_damping,L1,24.198896884918213,0.6228010825439784,0.6390568319226119,0.6711111111111111,0.6546918550634871
45,phase_damping,L2,23.825223445892334,0.6177266576454669,0.6364193746167995,0.659047619047619,0.6475358702432938
45,phase_damping,L3,28.34517812728882,0.6052097428958051,0.6345646437994723,0.6107936507936508,0.6224522808152702
45,phase_damping,L4,28.905582189559937,0.5984438430311232,0.6454272863568216,0.5466666666666666,0.5919559986249571
45,readout,L1,26.31864309310913,0.6265223274695535,0.6409335727109515,0.68,0.6598890942698706
45,readout,L2,25.836235761642456,0.6238159675236806,0.6387058118633913,0.6768253968253968,0.657213316892725
45,readout,L3,25.286869525909424,0.6177266576454669,0.6336336336336337,0.6698412698412698,0.6512345679012346
45,readout,L4,25.242838382720947,0.61468200270636,0.6327649208282582,0.6596825396825396,0.6459434255517563
45,combined,L2,32.86821937561035,0.6143437077131259,0.6365348399246704,0.6438095238095238,0.6401515151515151
46,none,L0,19.57819890975952,0.61468200270636,0.6212458286985539,0.7092063492063492,0.662318410910169
