seed,model,epsilon,attack_success_rate,robustness_accuracy,mean_linf,mean_l2,accuracy,precision,recall,f1
48,classical,0.05,0.0,0.98,0.05000001,0.099499986,0.98,0.9642857142857143,1.0,0.9818181818181818
48,classical,0.1,0.0,1.0,0.10000002,0.19882476,1.0,1.0,1.0,1.0
48,classical,0.2,0.0,1.0,0.20000003,0.39664948,1.0,1.0,1.0,1.0
48,classical,0.3,0.0,1.0,0.30000004,0.59182477,1.0,1.0,1.0,1.0
49,vqc,0.0,0.0,0.58,0.0,0.0,0.58,0.6,0.6666666666666666,0.631578947368421
49,vqc,0.05,0.8620689655172413,0.46,0.05,0.08817837,0.46,0.5,0.2962962962962963,0.37209302325581395
49,vqc,0.1,1.0,0.4,0.09250001,0.14152934,0.4,0.42105263157894735,0.2962962962962963,0.34782608695652173
49,vqc,0.2,0.8275862068965517,0.5,0.131,0.18380165,0.5,0.5454545454545454,0.4444444444444444,0.4897959183673469
49,vqc,0.3,0.7241379310344828,0.44,0.18300003,0.25220641,0.44,0.47619047619047616,0.37037037037037035,0.4166666666666667
49,classical,0.0,0.0,0.98,0.0,0.0,0.98,0.9642857142857143,1.0,0.9818181818181818
49,classical,0.05,0.0,0.98,0.049000006,0.09799998,0.98,0.9642857142857143,1.0,0.9818181818181818
49,classical,0.1,0.0,1.0,0.09800002,0.19553554,1.0,1.0,1.0,1.0
49,classical,0.2,0.0,1.0,0.19600002,0.38983098,1.0,1.0,1.0,1.0
49,classical,0.3,0.0,1.0,0.29400003,0.5810075,1.0,1.0,1.0,1.0
